Rank,Name,Team Code,Nationality,Points
1,,,,2036
2,WANTY - GROUPE GOBERT,WGG,BELGIUM,1538
3,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,1401
4,NERI SOTTOLI,NRI,ITALY,"1275,5"
5,IAM CYCLING,IAM,SWITZERLAND,1268
6,BARDIANI CSF,BAR,ITALY,1219
7,CCC POLSAT POLKOWICE,CCC,POLAND,1182
8,RUSVELO,RVL,RUSSIAN FEDERATION,"1165,4"
9,TEAM NETAPP - ENDURA,TNE,GERMANY,"1000,6"
10,BRETAGNE - SECHE ENVIRONNEMENT,BSE,FRANCE,946
11,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,940
12,RABOBANK DEVELOPMENT TEAM,RDT,NETHERLANDS,845
13,CULT ENERGY VITAL WATER,CUL,DENMARK,821
14,ADRIA MOBIL,ADR,SLOVENIA,"806,75"
15,KOLSS CYCLING TEAM,KLS,UKRAINE,744
16,ROUBAIX LILLE METROPOLE,RLM,FRANCE,690
17,BDC MARCPOL,BDC,POLAND,"684,5"
18,TEAM STÖLTING,STG,GERMANY,595
19,ETIXX,ETI,CZECH REPUBLIC,590
20,CYCLINGTEAM JO PIELS,CJP,NETHERLANDS,"586,43"
21,ANDRONI GIOCATTOLI - VENEZUELA,AND,ITALY,585
22,WALLONIE - BRUXELLES,WBC,BELGIUM,583
23,TIROL CYCLING TEAM,TIR,AUSTRIA,582
24,,,,556
25,MG KVIS - WILIER,MGK,ITALY,"529,68"
26,TEAM JOKER,TJO,NORWAY,511
27,MTN - QHUBEKA,MTN,SOUTH AFRICA,503
28,TEAM GOURMETFEIN SIMPLON WELS,RSW,AUSTRIA,485
29,TEAM KATUSHA,KAT,RUSSIAN FEDERATION,"475,68"
30,CYCLINGTEAM DE RIJKE,RIJ,NETHERLANDS,"469,5"
31,METEC - TKH CONTINENTAL CYCLINGTEAM,MET,NETHERLANDS,464
32,BIGMAT - AUBER 93,BIG,FRANCE,442
33,TEAM TREFOR - BLUE WATER,TBW,DENMARK,397
34,TEAM LA POMME MARSEILLE 13,LPM,FRANCE,395
35,VERANDAS WILLEMS,WIL,BELGIUM,351
36,OFM - QUINTA DA LIXA,OFM,PORTUGAL,349
37,EUSKADI,EUK,SPAIN,"334,68"
38,AREA ZERO PRO TEAM,AZT,ITALY,295
39,EFAPEL - GLASSDRIVE,EFG,PORTUGAL,292
40,LOKOSPHINX,LOK,RUSSIAN FEDERATION,288
41,AN POST - CHAIN REACTION,SKT,IRELAND,286
42,BURGOS-BH,BUR,SPAIN,279
43,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,276
44,TEAM ØSTER HUS - RIDLEY,OHR,NORWAY,271
45,BAUKNECHT - AUTHOR,BAU,CZECH REPUBLIC,260
46,ACTIVEJET TEAM,AJT,POLAND,249
47,DUKLA TRENCIN TREK,DUK,SLOVAKIA,231
48,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,230
49,RIETUMU - DELFIN,RBD,LATVIA,227
50,MEXLLER,MEX,POLAND,206
51,COLOMBIA,COL,COLOMBIA,200
52,LEOPARD DEVELOPMENT TEAM,LDT,LUXEMBOURG,198
53,BKCP - POWERPLUS,BKP,BELGIUM,190
54,RAPHA CONDOR JLT,RCJ,GREAT BRITAIN,183
55,TEAM VORARLBERG,VBG,AUSTRIA,182
56,KOGA CYCLING TEAM,KOG,NETHERLANDS,176
57,RIWAL PLATFORM CYCLING TEAM,VPC,DENMARK,175
58,VERANCLASSIC - DOLTCINI,VER,BELGIUM,174
59,SP TABLEWARE,SPT,GREECE,172
60,AMPLATZ - BMC,AMP,AUSTRIA,166
61,MERIDIANA KAMEN TEAM,MKT,CROATIA,162
62,MARCHIOL EMISFERO,MAE,ITALY,"154,01"
63,RADENSKA,RAR,SLOVENIA,154
63,NFTO,NPC,GREAT BRITAIN,154
65,TEAM 3M,MMM,BELGIUM,153
66,MADISON GENESIS,MGT,GREAT BRITAIN,151
67,TEAM IDEA,IDE,ITALY,148
68,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,147
69,LKT TEAM BRANDENBURG,LKT,GERMANY,"136,5"
70,LA ALUMINIOS - ANTARTE,LAA,PORTUGAL,135
71,,,,131
72,TORKU SEKERSPOR,TRK,TURKEY,126
73,PARKHOTEL VALKENBURG CONTINENTAL CYCLING TEAM,PVC,NETHERLANDS,125
74,TEAM RINGERIKS - KRAFT,KRA,NORWAY,122
75,RACING CYCLES - KASTRO TEAM,TKT,GREECE,121
76,CIBEL,CIB,BELGIUM,120
77,TEAM DIFFERDANGE - LOSCH,CCD,LUXEMBOURG,118
78,RADIO POPULAR,BOA,PORTUGAL,117
78,DEVELOPMENT TEAM GIANT-SHIMANO,GID,SWEDEN,117
80,ISD CONTINENTAL TEAM,ISD,UKRAINE,105
81,COLOR CODE - BIOWANZE,CCB,BELGIUM,102
82,TEAM STUTTGART,SGT,GERMANY,99
83,AVANTI RACING TEAM,ART,AUSTRALIA,98
84,RUSSIAN HELICOPTERS,HCL,RUSSIAN FEDERATION,97
85,MATRIX POWERTAG,MTR,JAPAN,96
85,CHRISTINA WATCHES - KUMA,CTO,DENMARK,96
87,VEGA - HOTSAND,VHS,ITALY,94
88,TEAM FIXIT.NO,FIX,NORWAY,88
89,4-72 - COLOMBIA,CO4,COLOMBIA,82
89,UTENSILNORD,UNA,HUNGARY,82
91,TUSNAD CYCLING TEAM,TCT,ROMANIA,79
92,LOULETANO - DUNAS DOURADAS,LDD,PORTUGAL,77
93,TEAM ECUADOR,ECU,ECUADOR,73
94,BANCO BIC - CARMIM,BBC,PORTUGAL,70
94,RAD-NET ROSE TEAM,RNR,GERMANY,70
96,RALEIGH - GAC,RAL,GREAT BRITAIN,67
97,CHINA WUXI JILUN CYCLING TEAM,CWJ,PEOPLE'S REPUBLIC OF CHINA,66
98,TEAM 21,T21,RUSSIAN FEDERATION,65
99,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,63
