Rank,Name,Team Code,Nationality,Points
1,MTN QHUBEKA,MTN,SOUTH AFRICA,"653,68"
2,GROUPEMENT SPORTIF PETROLIER ALGERIE,GSP,ALGERIA,"438,99"
3,TEAM EUROPCAR,EUC,FRANCE,230
4,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,150
5,SP TABLEWARE CYCLING TEAM,SPT,GREECE,105
6,RIETUMU - DELFIN,RBD,LATVIA,80
7,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,79
8,VELO CLUB SOVAC ALGERIE,VCS,ALGERIA,"74,33"
9,DUKLA TRENCIN TREK,DUK,SLOVAKIA,59
10,KONYA TORKU SEKER SPOR,KTS,TURKEY,49
11,SALCANO - ARNAVUTKOY,SLC,TURKEY,45
12,TEAM SPECIALIZED CONCEPT STORE,SCS,GERMANY,34
13,TEAM BONITAS,BNT,SOUTH AFRICA,"31,67"
14,BRIDGESTONE ANCHOR,BGT,JAPAN,28
15,START CYCLING TEAM - ATACAMA FLOWERY DESERT,STF,PARAGUAY,24
16,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,20
17,J.JENSEN - SANDSTOD SALG OG EVENT,JJS,DENMARK,18
18,OLYMPIQUE TEAM ALGERIE,OTA,ALGERIA,16
19,ATLAS PERSONAL - JAKROO,ARH,SWITZERLAND,16
20,KOGA CYCLING TEAM,KOG,NETHERLANDS,8
21,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,5
22,GEOFCO - VILLE D'ALGER,GVA,ALGERIA,3
23,BMC - HINCAPIE SPORTSWEAR DEVELOPMENT TEAM,BHD,UNITED STATES OF AMERICA,2
