Rank,Name,Team Code,Nationality,Points
1,HOLOWESKO / CITADEL P/B HINCAPIE SPORTSWEAR,HSD,UNITED STATES OF AMERICA,738
2,SILBER PRO CYCLING,SPC,CANADA,645
3,AXEON HAGENS BERMAN,AHB,UNITED STATES OF AMERICA,612
4,JELLY BELLY P/B MAXXIS,JBC,UNITED STATES OF AMERICA,581
5,RALLY CYCLING,RLY,UNITED STATES OF AMERICA,541
6,FUNVIC SOUL CYCLES - CARREFOUR,FSC,BRAZIL,377
7,TEAM JAMIS,JAM,UNITED STATES OF AMERICA,374
8,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,330
9,MOVISTAR TEAM,MOT,COLOMBIA,306
10,STRONGMAN CAMPAGNOLO WILIER,SCQ,COLOMBIA,273
11,INTEJA-MMR DOMINICAN CYCLING TEAM,DCT,DOMINICAN REPUBLIC,"196,25"
12,EPM TIGO - UNE AREA METROPOLITANA,EPM,COLOMBIA,193
13,GARNEAU QUÉBECOR,GQC,CANADA,181
14,LUPUS RACING TEAM,LRT,UNITED STATES OF AMERICA,177
15,CAJA RURAL-SEGUROS RGA,CJR,SPAIN,131
15,SINDICATO DE EMPLEADOS PUBLICOS DE SAN JUAN,SEP,ARGENTINA,131
17,FORTUNEO - VITAL CONCEPT,FVC,FRANCE,123
18,CYCLING ACADEMY TEAM,CAT,ISRAEL,112
19,,,,96
20,START VAXES - PARTIZAN CYCLING TEAM,STF,SERBIA,80
21,BORA-ARGON 18,BOA,GERMANY,70
22,TEAM ECUADOR,ECU,ECUADOR,67
23,BOYACÁ RAZA DE CAMPEONES,BRC,COLOMBIA,63
24,RTS-MONTON RACING TEAM,RTS,CHINESE TAIPEI,60
25,BRIDGESTONE ANCHOR CYCLING TEAM,BGT,JAPAN,56
26,KLEIN CONSTANTIA,KLC,CZECH REPUBLIC,55
27,WILIER TRIESTINA - SOUTHEAST,WIL,ITALY,52
28,AMORE & VITA - SELLE SMP,AMO,UKRAINE,49
29,DELKO MARSEILLE PROVENCE KTM,DMP,FRANCE,48
30,ANDRONI GIOCATTOLI - SIDERMEC,AND,ITALY,45
31,GW SHIMANO,GWS,COLOMBIA,39
32,SAN LUIS SOMOS TODOS,SLT,ARGENTINA,38
32,COOPENAE EXTRALUM,CEE,COSTA RICA,38
34,DIRECT ENERGIE,DEN,FRANCE,36
35,HAINAN JILUN - SHAKELAND CYCLING TEAM,JLS,PEOPLE'S REPUBLIC OF CHINA,33
36,ELEVATE PRO CYCLING P/B BICYCLE WORLD,ELV,UNITED STATES OF AMERICA,26
37,H&R BLOCK PRO CYCLING,HRB,CANADA,24
38,DRAPAC PROFESSIONAL CYCLING,DPC,AUSTRALIA,20
38,ASTELLAS CYCLING TEAM,ACT,UNITED STATES OF AMERICA,20
40,MANZANA POSTOBON TEAM,MZN,COLOMBIA,19
41,TEAM NOVO NORDISK,TNN,UNITED STATES OF AMERICA,18
42,SKYDIVE DUBAI PRO CYCLING TEAM - AL AHLI CLUB,SKD,UNITED ARAB EMIRATES,17
43,CYLANCE-INCYCLE P/B CANNONDALE,CPC,UNITED STATES OF AMERICA,12
44,LOS MATANCEROS,LMC,ARGENTINA,10
44,DUKLA BANSKA BYSTRICA,DKB,SLOVAKIA,10
44,VIVO TEAM GRUPO ORESY,VIV,PARAGUAY,10
47,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,5
47,NIPPO - VINI FANTINI,NIP,ITALY,5
47,ONE PRO CYCLING,ONE,GREAT BRITAIN,5
