Rank,Name,Team Code,Nationality,Points
1,WANTY - GROUPE GOBERT,WGG,BELGIUM,3235
2,"COFIDIS, SOLUTIONS CREDITS",COF,FRANCE,3169
3,ANDRONI - SIDERMEC - BOTTECCHIA,ANS,ITALY,2959
4,WB VERANCLASSIC AQUALITY PROTECT,WVA,BELGIUM,2613
5,FORTUNEO - OSCARO,TFO,FRANCE,2587
6,DIRECT ENERGIE,DEN,FRANCE,2468
7,ROOMPOT - NEDERLANDSE LOTERIJ,RNL,NETHERLANDS,2245
8,VERANDA'S WILLEMS - CRELAN,VWC,BELGIUM,2060
9,ARMEE DE TERRE,ADT,FRANCE,1800
10,CCC SPRANDI POLKOWICE,CCC,POLAND,1729
11,SPORT VLAANDEREN - BALOISE,SVB,BELGIUM,1671
12,DELKO MARSEILLE PROVENCE KTM,DMP,FRANCE,1554
13,NIPPO - VINI FANTINI,NIP,ITALY,1490
14,HP BTP - AUBER 93,AUB,FRANCE,1457
15,KOLSS CYCLING TEAM,KLS,UKRAINE,1392
16,W52/FC PORTO,W52,PORTUGAL,1331
17,CAJA RURAL - SEGUROS RGA,CJR,SPAIN,1264
18,JOKER ICOPAL,TJI,NORWAY,1075
19,SANGEMINI - MG. K VIS,SAN,ITALY,1038
20,ELKOV - AUTHOR CYCLING TEAM,ELA,CZECH REPUBLIC,1027
21,TEAM VIRTU CYCLING,TVC,DENMARK,1023
22,AQUA BLUE SPORT,ABS,IRELAND,988
23,ROUBAIX - LILLE METROPOLE,RLM,FRANCE,956
24,CIBEL - CEBON,CIB,BELGIUM,938
25,ISRAEL CYCLING ACADEMY,ICA,ISRAEL,896
26,TEAM GIANT - CASTELLI,TGC,DENMARK,819
27,AXEON HAGENS BERMAN,AHB,UNITED STATES OF AMERICA,777
28,TEAM COOP,TCO,NORWAY,773
29,,,,748
30,LOKOSPHINX,LOK,RUSSIAN FEDERATION,733
31,GAZPROM - RUSVELO,GAZ,RUSSIAN FEDERATION,723
32,RIWAL PLATFORM CYCLING TEAM,RIW,DENMARK,717
33,WILIER TRIESTINA - SELLE ITALIA,WIL,ITALY,708
34,SYNERGY BAKU CYCLING PROJECT,BCP,AZERBAIJAN,706
35,MANZANA POSTOBON TEAM,MZN,COLOMBIA,700
36,BEOBANK - CORENDON,BEC,BELGIUM,687
37,ONE PRO CYCLING,ONE,GREAT BRITAIN,679
38,MINSK CYCLING CLUB,MCC,BELARUS,666
39,AMPLATZ - BMC,AMP,AUSTRIA,646
40,SPORTING / TAVIRA,STA,PORTUGAL,612
41,RIETUMU BANKA - RIGA,RBR,LATVIA,605
42,TEAM FELBERMAYR SIMPLON WELS,RSW,AUSTRIA,579
43,TEAM VORARLBERG,VOL,AUSTRIA,549
44,MITCHELTON SCOTT,MTS,PEOPLE'S REPUBLIC OF CHINA,523
45,LEOPARD PRO CYCLING,LPC,LUXEMBOURG,494
46,BABY - DUMP CYCLINGTEAM,BDC,NETHERLANDS,482
47,JLT CONDOR,JLT,GREAT BRITAIN,482
48,DOMIN SPORT,DSP,POLAND,472
49,TEAM DIFFERDANGE - LOSCH,CCD,LUXEMBOURG,472
50,EFAPEL,EFP,PORTUGAL,445
51,METEC - TKH CONTINENTAL CYCLINGTEAM P/B MANTEL,MET,NETHERLANDS,443
52,SEG RACING ACADEMY,SEG,NETHERLANDS,439
53,COLOQUICK - CULT,TCQ,DENMARK,433
54,EUSKADI BASQUE COUNTRY - MURIAS,EUS,SPAIN,427
55,DELTA CYCLING ROTTERDAM,DCR,NETHERLANDS,411
56,PAUWELS SAUZEN - VASTGOEDSERVICE CONTINENTAL TEAM,PSV,BELGIUM,410
57,BHS - ALMEBORG BORNHOLM,ABB,DENMARK,405
58,ROTH - AKROS,TRA,SWITZERLAND,399
59,TEAM HUROM,THU,POLAND,387
60,AMORE & VITA - SELLE SMP presented by FONDRIEST,AMO,ALBANIA,383
61,MEDELLIN - INDER,MED,COLOMBIA,371
62,BURGOS BH,BBH,SPAIN,360
63,VOSTER UNIWHEELS TEAM,VOS,POLAND,359
64,LOULETANO - HOSPITAL DE LOULE,LHL,PORTUGAL,351
65,TORKU SEKERSPOR,TRK,TURKEY,348
66,BARDIANI CSF,BRD,ITALY,346
67,UNO - X HYDROGEN DEVELOPMENT TEAM,UXT,NORWAY,341
68,TEAM SPAREBANKEN SOR,TSS,NORWAY,341
69,ROG - LJUBLJANA,ROG,SLOVENIA,331
70,UNIEURO TREVIGIANI - HEMUS 1896,UNI,BULGARIA,303
71,TEAM WIGGINS,WGN,GREAT BRITAIN,298
72,GM EUROPA OVINI,GME,ITALY,293
73,TIROL CYCLING TEAM,TIR,AUSTRIA,289
74,TEAM UKYO,UKO,JAPAN,281
75,DESTIL - JO PIELS CYCLING TEAM,DJP,NETHERLANDS,280
76,TARTELETTO - ISOREX,TIS,BELGIUM,277
77,ERA - CIRCUS,ERC,BELGIUM,276
78,BIKE CHANNEL CANYON,BIK,GREAT BRITAIN,276
79,RP - BOAVISTA,BOA,PORTUGAL,270
80,AGO - AQUA SERVICE,AAS,BELGIUM,269
81,TEAM TRE BERG - POSTNORD,TTB,SWEDEN,265
82,TEAM FIXIT.NO,FIX,NORWAY,248
83,TELENET FIDEA LIONS,TFL,BELGIUM,248
84,ADRIA MOBIL,ADR,SLOVENIA,236
85,DARE VIATOR PARTIZAN,DVP,SERBIA,216
86,ASTANA CITY,TSE,KAZAKHSTAN,209
87,TUSNAD CYCLING TEAM,TCT,ROMANIA,205
88,MERIDIANA KAMEN TEAM,MKT,CROATIA,184
89,ISD - JORBI CONTINENTAL TEAM,ISD,UKRAINE,166
90,HAINAN JILUN CYCLING TEAM,JLC,PEOPLE'S REPUBLIC OF CHINA,163
91,DUKLA BANSKA BYSTRICA,DKB,SLOVAKIA,162
92,AN POST CHAIN REACTION,SKT,IRELAND,160
93,DIMENSION DATA FOR QHUBEKA,DDC,SOUTH AFRICA,158
94,TEAM LOTTO - KERN HAUS,LKH,GERMANY,140
95,UNITEDHEALTHCARE PROFESSIONAL CYCLING TEAM,UHC,UNITED STATES OF AMERICA,128
96,T.PALM PÔLE CONTINENTAL WALLON,PCW,BELGIUM,127
97,LA ALUMINIOS / METALUSA BLACKJACK,LAA,PORTUGAL,120
98,MADISON GENESIS,MGT,GREAT BRITAIN,116
99,TEAM RALEIGH GAC,RAL,GREAT BRITAIN,114
100,HRINKOW ADVARICS CYCLEANG,HAC,AUSTRIA,114
101,RAD-NET ROSE TEAM,RNR,GERMANY,112
102,WSA - GREENLIFE,WSA,AUSTRIA,110
103,ISOWHEY SPORTS SWISSWELLNESS,IWS,AUSTRALIA,107
104,RALLY CYCLING,RLY,UNITED STATES OF AMERICA,105
105,DEVELOPMENT TEAM SUNWEB,DSU,GERMANY,104
106,0711 / CYCLING,CYC,GERMANY,101
107,TEAM HEIZOMAT,THF,GERMANY,87
108,CHRISTINA JEWELRY - KUMA,CJK,DENMARK,83
109,RTS - MONTON RACING TEAM,RTS,CHINESE TAIPEI,81
