Rank,Name,Team Code,Nationality,Points
1,TERENGGANU CYCLING TEAM,TSG,MALAYSIA,539
2,TABRIZ PETROCHEMICAL TEAM,TPT,ISLAMIC REPUBLIC OF IRAN,440
3,CHRISTINA WATCHES - ONFONE,CWO,DENMARK,"432,98"
4,,,,417
5,CHAMPION SYSTEM PRO CYCLING TEAM,CSS,PEOPLE'S REPUBLIC OF CHINA,"414,99"
6,AISAN RACING TEAM,AIS,JAPAN,346
7,ANDRONI GIOCATTOLI - VENEZUELA,AND,ITALY,290
8,TEAM TYPE 1 - SANOFI,TT1,UNITED STATES OF AMERICA,288
9,GENESYS WEALTH ADVISERS,GEN,AUSTRALIA,267
10,FARNESE VINI - SELLE ITALIA,FAR,GREAT BRITAIN,258
11,AZAD UNIVERSITY CROSS TEAM,AZC,ISLAMIC REPUBLIC OF IRAN,249
12,DRAPAC CYCLING,DPC,AUSTRALIA,242
13,CHINA 361° CYCLING TEAM,SLY,PEOPLE'S REPUBLIC OF CHINA,214
14,RABOBANK CONTINENTAL TEAM,RB3,NETHERLANDS,"200,02"
15,SAVA,SAK,SLOVENIA,186
16,ANDALUCIA,ACG,SPAIN,177
17,CONTINENTAL TEAM ASTANA,AS2,KAZAKHSTAN,"174,01"
18,TEAM ARGOS - SHIMANO,ARG,NETHERLANDS,158
19,RUSVELO,RVL,RUSSIAN FEDERATION,158
20,NUTRIXXION ABUS,TSP,GERMANY,154
21,OCBC SINGAPORE CONTINENTAL CYCLING TEAM,TSI,SINGAPORE,133
22,VERANDA RIDEAU - SUPER U,VRU,FRANCE,119
23,UZBEKISTAN SUREN TEAM,UST,UZBEKISTAN,117
24,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,116
25,MTN QHUBEKA,MTN,SOUTH AFRICA,113
26,TEAM SPECIALIZED CONCEPT STORE,SCS,GERMANY,112
27,ASC DUKLA PRAHA,ADP,CZECH REPUBLIC,111
28,BRIDGESTONE ANCHOR,BGT,JAPAN,110
29,CCN CYCLING TEAM,CCN,BRUNEI DARUSSALAM,99
30,COLNAGO - CSF INOX,COG,IRELAND,90
31,SHIMANO RACING TEAM,SMN,JAPAN,83
32,TEAM OPTUM PRESENTED BY KELLY BENEFIT STRATEGIES,OPT,UNITED STATES OF AMERICA,71
33,LA POMME MARSEILLE,LPM,FRANCE,68
34,ISD - LAMPRE CONTINENTAL,ISD,UKRAINE,"64,02"
35,ACTION CYCLING TEAM,ACT,CHINESE TAIPEI,64
36,EPM - UNE,EPM,COLOMBIA,63
37,JELLY BELLY CYCLING,JBC,UNITED STATES OF AMERICA,63
38,KSPO,KSP,KOREA,56
39,BMC - HINCAPIE SPORTSWEAR DEVELOPMENT TEAM,BHD,UNITED STATES OF AMERICA,55
40,AMORE & VITA,AMO,UKRAINE,52
41,TEAM EUROPCAR,EUC,FRANCE,47
42,LANDBOUWKREDIET - EUPHONY,LAN,BELGIUM,47
43,SEOUL CYCLING TEAM,SCT,KOREA,40
44,ARBÖ GEBRÜDER WEISS - OBERNDORFER,KTM,AUSTRIA,39
45,GEUMSAN GINSENG CELLO,GGC,KOREA,38
46,UTSUNOMIYA BLITZEN,BLZ,JAPAN,34
47,HENGXIANG CYCLING TEAM,HEN,PEOPLE'S REPUBLIC OF CHINA,34
48,MATRIX POWERTAG,MTR,JAPAN,33
49,,,,29
50,KONYA TORKU SEKER SPOR,KTS,TURKEY,25
51,TEAM EDDY MERCKX - INDELAND,TRS,GERMANY,23
52,CCC POLSAT POLKOWICE,CCC,POLAND,23
53,QINGHAI TIANYOUDE CYCLING TEAM,TYD,PEOPLE'S REPUBLIC OF CHINA,17
54,ATLAS PERSONAL - JAKROO,ARH,SWITZERLAND,16
55,MALAK CYCLING TEAM,MCT,PEOPLE'S REPUBLIC OF CHINA,14
56,KOGA CYCLING TEAM,KOG,NETHERLANDS,13
57,TEAM NETAPP,APP,GERMANY,12
58,MES KERMAN,MES,ISLAMIC REPUBLIC OF IRAN,12
59,TEAM SENTER - MERIDA,TSM,CHINESE TAIPEI,11
60,CANNONDALE SPACEZEROPOINT,CSZ,JAPAN,7
61,TEAM DIFFERDANGE - MAGIC-SPORTFOOD.DE,CCD,LUXEMBOURG,6
62,RAPHA CONDOR,RCS,GREAT BRITAIN,6
62,SALCANO - ARNAVUTKOY,SLC,TURKEY,6
64,RTS RACING TEAM,RTS,CHINESE TAIPEI,5
64,ADRIA MOBIL,ADR,SLOVENIA,5
64,TEAM CONCORDIA FORSIKRING - HIMMERLAND,VPC,DENMARK,5
67,TUSNAD CYCLING TEAM,TCT,ROMANIA,3
68,TEAM UKYO,UKO,JAPAN,2
68,GAN SU SPORTS LOTTERY,GTC,PEOPLE'S REPUBLIC OF CHINA,2
