Rank,Name,Team Code,Nationality,Points
1,TEAM JAYCO - AIS,JAI,AUSTRALIA,188
2,SUBWAY CYCLING TEAM,SUB,NEW ZEALAND,172
3,DRAPAC CYCLING,DPC,AUSTRALIA,140
4,TEAM BUDGET FORKLIFTS,BFL,AUSTRALIA,92
5,GENESYS WEALTH ADVISERS,GEN,AUSTRALIA,56
6,MTN QHUBEKA,MTN,SOUTH AFRICA,46
7,BISSELL CYCLING,BPC,UNITED STATES OF AMERICA,40
8,TEAM ARGOS - SHIMANO,ARG,NETHERLANDS,40
9,CHIPOTLE - FIRST SOLAR DEVELOPMENT TEAM,CDT,UNITED STATES OF AMERICA,33
10,CHAMPION SYSTEM PRO CYCLING TEAM,CSS,PEOPLE'S REPUBLIC OF CHINA,22
11,TEAM DIFFERDANGE - MAGIC-SPORTFOOD.DE,CCD,LUXEMBOURG,20
12,BMC - HINCAPIE SPORTSWEAR DEVELOPMENT TEAM,BHD,UNITED STATES OF AMERICA,14
13,TEAM RALEIGH - GAC,RAL,GREAT BRITAIN,14
14,,,,12
15,UNITEDHEALTHCARE PRO CYCLING TEAM,UHC,UNITED STATES OF AMERICA,4
16,RUSVELO,RVL,RUSSIAN FEDERATION,2
