Rank,Name,Team Code,Nationality,Points
1,MOVISTAR TEAM,MOV,SPAIN,1610
2,SKY PROCYCLING,SKY,GREAT BRITAIN,1561
3,KATUSHA,KAT,RUSSIAN FEDERATION,1340
4,RADIOSHACK LEOPARD,RLT,LUXEMBOURG,1056
5,ASTANA PRO TEAM,AST,KAZAKHSTAN,1053
6,Team SAXO-TINKOFF,TST,DENMARK,1030
7,OMEGA PHARMA - QUICK-STEP CYCLING TEAM,OPQ,BELGIUM,1013
8,GARMIN SHARP,GRS,UNITED STATES OF AMERICA,855
9,CANNONDALE PRO CYCLING,CAN,ITALY,750
10,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,731
11,BELKIN-PRO CYCLING TEAM,BEL,NETHERLANDS,714
12,AG2R LA MONDIALE,ALM,FRANCE,691
13,ORICA GreenEDGE,OGE,AUSTRALIA,600
14,LAMPRE-MERIDA,LAM,ITALY,543
15,EUSKALTEL EUSKADI,EUS,SPAIN,391
16,TEAM ARGOS-SHIMANO,ARG,NETHERLANDS,355
17,FDJ.fr,FDJ,FRANCE,338
18,LOTTO BELISOL,LTB,BELGIUM,307
19,VACANSOLEIL-DCM PRO CYCLING TEAM,VCD,NETHERLANDS,125
