Rank,Name,Team Code,Nationality,Points
1,SKY PROCYCLING,SKY,GREAT BRITAIN,1767
2,KATUSHA TEAM,KAT,RUSSIAN FEDERATION,1273
3,LIQUIGAS-CANNONDALE,LIQ,ITALY,1197
4,OMEGA PHARMA-QUICKSTEP,OPQ,BELGIUM,1162
5,MOVISTAR TEAM,MOV,SPAIN,952
6,ORICA GreenEDGE,OGE,AUSTRALIA,920
7,BMC RACING TEAM,BMC,UNITED STATES OF AMERICA,917
8,RABOBANK CYCLING TEAM,RAB,NETHERLANDS,799
9,GARMIN - SHARP,GRS,UNITED STATES OF AMERICA,762
10,ASTANA PRO TEAM,AST,KAZAKHSTAN,645
11,LOTTO BELISOL TEAM,LTB,BELGIUM,625
12,RADIOSHACK-NISSAN,RNT,LUXEMBOURG,619
13,EUSKALTEL - EUSKADI,EUS,SPAIN,555
14,LAMPRE - ISD,LAM,ITALY,435
15,TEAM SAXO BANK-TINKOFF BANK,STB,DENMARK,401
16,VACANSOLEIL-DCM PRO CYCLING TEAM,VCD,NETHERLANDS,364
17,AG2R LA MONDIALE,ALM,FRANCE,315
18,FDJ-BIG MAT,FDJ,FRANCE,246
